name of the body,position x,position y,position z
jupiter,4.94518,0.245276,-0.111765
saturn,7.79889,4.99273,-0.396978
uranus,13.4169,-14.6762,-0.228477
neptune,15.8567,-25.6233,0.162198
sun,1.35142e-05,-0.00165758,7.05213e-06
jupiter,4.9433,0.274135,-0.111842
saturn,7.78679,5.00986,-0.396795
uranus,13.4274,-14.6672,-0.228579
neptune,15.8664,-25.6172,0.161849
sun,1.79761e-05,-0.00169073,7.09213e-06
jupiter,4.94125,0.302985,-0.111916
saturn,7.77466,5.02697,-0.396611
uranus,13.4379,-14.6581,-0.228682
neptune,15.8761,-25.6111,0.1615
sun,2.26028e-05,-0.00172386,7.12809e-06
jupiter,4.93905,0.331826,-0.111986
saturn,7.76248,5.04405,-0.396424
uranus,13.4483,-14.649,-0.228784
neptune,15.8857,-25.6049,0.161151
sun,2.73943e-05,-0.00175698,7.16001e-06
jupiter,4.93669,0.360656,-0.112053
saturn,7.75027,5.0611,-0.396235
uranus,13.4588,-14.6399,-0.228887
neptune,15.8954,-25.5988,0.160802
sun,3.23505e-05,-0.00179007,7.18788e-06
jupiter,4.93417,0.389474,-0.112115
saturn,7.73802,5.07813,-0.396044
uranus,13.4693,-14.6309,-0.228989
neptune,15.9051,-25.5926,0.160453
sun,3.74714e-05,-0.00182315,7.21171e-06
jupiter,4.93149,0.418279,-0.112175
saturn,7.72572,5.09513,-0.395851
uranus,13.4798,-14.6218,-0.229091
neptune,15.9147,-25.5865,0.160104
sun,4.27568e-05,-0.00185621,7.23148e-06
jupiter,4.92864,0.447071,-0.11223
saturn,7.7134,5.11211,-0.395656
uranus,13.4902,-14.6127,-0.229193
neptune,15.9244,-25.5803,0.159755
sun,4.82068e-05,-0.00188925,7.2472e-06
jupiter,4.92564,0.475848,-0.112282
saturn,7.70103,5.12906,-0.395459
uranus,13.5007,-14.6035,-0.229295
neptune,15.9341,-25.5742,0.159406
sun,5.38211e-05,-0.00192226,7.25886e-06
jupiter,4.92247,0.50461,-0.11233
saturn,7.68862,5.14599,-0.395261
uranus,13.5111,-14.5944,-0.229396
neptune,15.9437,-25.568,0.159058
sun,5.95999e-05,-0.00195526,7.26647e-06
jupiter,4.91915,0.533355,-0.112375
saturn,7.67618,5.16289,-0.39506
uranus,13.5215,-14.5853,-0.229498
neptune,15.9534,-25.5618,0.158708
sun,6.55429e-05,-0.00198823,7.27002e-06
jupiter,4.91566,0.562083,-0.112416
saturn,7.6637,5.17977,-0.394857
uranus,13.532,-14.5762,-0.229599
neptune,15.963,-25.5557,0.158359
